 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00375-05116,0.410,0.600,0.000,0.600,0.600,1.812
2,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00589-08333,12.309,1.002,0.303,0.667,1.600,12.527
3,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00711-08808,60.316,1.468,0.335,0.840,2.257,28.367
4,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00880-09664,36.518,1.076,0.380,0.491,2.154,22.556
5,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:00971-09570,22.157,1.398,0.224,0.893,1.929,17.807
6,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01165-08476,40.621,1.641,0.258,1.133,2.182,24.898
7,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01245-09760,56.213,1.948,0.358,1.200,2.909,27.836
8,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01306-09578,14.771,1.076,0.174,0.767,1.550,14.339
9,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01355-09736,28.722,1.164,0.144,0.773,1.647,19.994
10,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01435-09481,34.056,1.356,0.190,0.963,2.118,22.181
11,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01478-09078,81.242,1.277,0.219,0.677,1.949,33.116
12,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01595-09028,0.410,1.538,0.000,1.538,1.538,2.562
13,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01711-08898,45.134,1.343,0.316,0.789,2.455,24.368
14,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01757-08819,90.269,0.910,0.173,0.606,1.722,35.678
15,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:01768-10009,2.872,2.008,0.279,1.667,2.444,5.435
16,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02102-08418,0.410,2.083,0.000,2.083,2.083,2.562
17,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02097-08413,59.495,2.023,0.310,1.429,3.250,31.084
18,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02127-04531,16.823,1.245,0.165,0.949,1.654,15.245
19,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02146-03908,12.309,2.111,0.366,1.500,3.125,15.089
20,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02213-04974,47.186,1.065,0.144,0.698,1.403,25.649
21,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02252-06089,25.029,0.985,0.245,0.583,1.667,18.713
22,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02294-07871,38.980,1.812,0.447,1.000,3.150,23.087
23,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02355-06105,47.186,1.333,0.440,0.712,2.778,25.274
24,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02462-04482,21.747,2.484,0.489,1.500,3.429,16.901
25,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02531-09897,43.493,1.237,0.137,0.875,1.600,26.710
26,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02548-07646,22.978,1.271,0.193,0.818,1.688,17.651
27,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02588-06303,37.749,1.553,0.606,0.521,3.429,25.118
28,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02730-07405,0.410,1.381,0.000,1.381,1.381,2.562
29,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02804-02041,26.670,0.893,0.300,0.483,2.100,22.025
30,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02973-07277,47.596,1.610,0.247,1.059,2.471,25.649
31,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:02993-08540,130.890,1.576,0.418,0.658,2.449,42.239
32,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03028-07662,0.410,1.750,0.000,1.750,1.750,2.562
33,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03026-07659,39.800,1.433,0.230,0.933,2.100,25.118
34,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03039-07142,67.291,1.945,0.452,1.050,3.083,30.398
35,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03058-01868,2.872,3.521,0.318,3.000,3.875,6.186
36,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03076-01864,74.677,2.437,0.742,1.231,4.200,39.302
37,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03154-07457,26.260,1.057,0.153,0.741,1.421,19.994
38,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03184-09975,146.892,1.198,0.197,0.771,1.702,46.393
39,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03453-06211,0.410,1.167,0.000,1.167,1.167,2.562
40,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03454-06209,0.410,0.895,0.000,0.895,0.895,2.562
41,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03456-06207,6.155,1.105,0.177,0.864,1.500,15.245
42,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03493-06156,18.054,1.790,0.373,1.158,2.800,23.462
43,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03574-06382,4.924,2.198,0.643,1.357,3.375,9.434
44,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03575-06373,34.877,1.269,0.249,0.722,2.182,25.960
45,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03582-06374,2.462,1.310,0.103,1.158,1.438,5.435
46,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03582-06380,12.720,1.806,0.447,0.952,3.000,16.901
47,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03625-10555,24.619,1.264,0.178,0.960,1.733,19.088
48,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03704-06499,95.603,1.530,0.162,1.095,2.200,42.705
49,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03742-03713,32.825,1.471,0.129,1.190,1.789,22.181
50,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03783-10355,5.334,1.942,0.213,1.545,2.429,7.998
51,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03803-06740,77.139,1.467,0.141,1.043,1.875,40.518
52,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03850-10259,0.410,1.417,0.000,1.417,1.417,2.562
53,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03851-10260,0.410,1.750,0.000,1.750,1.750,2.562
54,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03853-10258,4.103,1.550,0.151,1.357,1.833,6.716
55,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03876-10362,8.617,1.083,0.148,0.870,1.444,11.621
56,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:03931-05807,38.159,0.867,0.166,0.569,1.400,23.087
57,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04061-08934,65.240,1.809,0.377,1.062,3.000,30.023
58,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04126-05736,185.051,1.242,0.207,0.767,1.909,52.734
59,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04174-06880,0.410,2.222,0.000,2.222,2.222,2.562
60,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04175-06879,0.821,1.970,0.429,1.667,2.273,3.843
61,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04178-06462,91.089,1.214,0.162,0.844,1.704,38.176
62,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04194-05392,1.231,0.964,0.134,0.870,1.118,4.529
63,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04196-09065,22.157,1.726,0.272,1.200,2.333,17.651
64,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04200-05253,16.823,1.243,0.209,0.844,1.765,15.995
65,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04197-09641,53.751,1.416,0.208,0.750,2.071,28.897
66,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04210-09599,4.924,1.937,0.404,1.333,3.000,7.622
67,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04208-10692,75.087,2.152,0.366,1.200,3.333,31.679
68,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04252-06173,169.049,1.298,0.201,0.826,1.889,49.861
69,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04282-05464,35.697,1.344,0.209,1.000,2.062,23.087
70,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04331-09092,0.821,1.533,0.094,1.467,1.600,3.843
71,slice0001_Result of After_GA3_A1 Region1_Merged_RAW_ch01.tif:04331-04372,5.334,1.832,0.291,1.500,2.375,7.998
