 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:00925-07946,1.929E-4,0.676,0.000,0.039,110.361,12.847,0.014,0.014,1.000,1.000,1.000,1.000
2,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01152-09278,1.929E-4,0.714,0.000,0.039,128.861,16.000,0.014,0.014,1.000,1.000,1.000,1.000
3,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01151-09280,0.011,0.976,0.282,0.453,128.833,15.917,0.125,0.139,0.661,1.368,0.731,0.794
4,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01239-08951,1.929E-4,0.714,0.000,0.056,124.319,17.208,0.014,0.014,0.785,1.000,1.000,1.000
5,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01239-08953,1.929E-4,0.684,0.000,0.056,124.347,17.208,0.014,0.014,0.785,1.000,1.000,1.000
6,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01241-08951,3.858E-4,0.885,0.163,0.083,124.306,17.236,0.028,0.014,0.698,2.000,0.500,1.000
7,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01244-08951,1.929E-4,0.725,0.000,0.056,124.319,17.278,0.014,0.014,0.785,1.000,1.000,1.000
8,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01246-08952,1.929E-4,0.824,0.000,0.056,124.333,17.306,0.014,0.014,0.785,1.000,1.000,1.000
9,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01246-08968,3.858E-4,0.807,0.071,0.083,124.542,17.306,0.028,0.014,0.698,2.000,0.500,1.000
10,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01253-08966,1.929E-4,0.794,0.000,0.056,124.528,17.403,0.014,0.014,0.785,1.000,1.000,1.000
11,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01255-08959,1.929E-4,0.742,0.000,0.056,124.431,17.431,0.014,0.014,0.785,1.000,1.000,1.000
12,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01255-08962,1.929E-4,0.886,0.000,0.056,124.472,17.431,0.014,0.014,0.785,1.000,1.000,1.000
13,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01334-10136,0.004,1.059,0.284,0.263,140.736,18.486,0.083,0.083,0.768,1.582,0.632,0.800
14,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01357-06336,3.858E-4,1.052,0.028,0.111,87.986,18.833,0.028,0.028,0.393,2.646,0.378,0.667
15,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01355-06346,0.004,1.284,0.201,0.476,88.083,18.778,0.125,0.097,0.203,2.562,0.390,0.481
16,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01350-09060,0.054,0.986,0.342,0.942,125.708,18.611,0.250,0.292,0.765,1.064,0.940,0.914
17,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01361-06336,3.858E-4,0.827,0.030,0.083,87.986,18.903,0.028,0.014,0.698,2.000,0.500,1.000
18,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01360-06341,5.787E-4,1.083,0.059,0.167,88.056,18.875,0.028,0.042,0.262,1.567,0.638,0.600
19,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01361-06350,9.645E-4,1.270,0.173,0.194,88.167,18.889,0.056,0.042,0.321,1.665,0.601,0.588
20,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01363-06340,3.858E-4,1.011,0.141,0.083,88.042,18.931,0.028,0.014,0.698,2.000,0.500,1.000
21,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01364-06336,3.858E-4,1.018,0.072,0.111,87.986,18.931,0.028,0.028,0.393,2.646,0.378,0.667
22,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01363-09548,0.002,0.638,0.075,0.306,132.583,18.903,0.056,0.069,0.286,1.377,0.726,0.647
23,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01366-06348,0.001,1.155,0.187,0.278,88.139,18.944,0.056,0.069,0.220,2.887,0.346,0.583
24,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01360-06338,0.017,1.050,0.148,1.381,87.944,18.764,0.181,0.264,0.112,1.831,0.546,0.478
25,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01694-06759,1.929E-4,0.780,0.000,0.056,93.875,23.528,0.014,0.014,0.785,1.000,1.000,1.000
26,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01694-06764,1.929E-4,0.667,0.000,0.056,93.944,23.528,0.014,0.014,0.785,1.000,1.000,1.000
27,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:01695-06762,0.009,0.736,0.114,0.528,93.861,23.486,0.125,0.111,0.418,1.187,0.842,0.835
28,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02093-08093,0.012,1.465,0.198,0.556,112.347,29.014,0.125,0.125,0.487,1.035,0.966,0.886
29,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02159-06832,1.929E-4,0.714,0.000,0.056,94.889,29.986,0.014,0.014,0.785,1.000,1.000,1.000
30,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02161-06832,1.929E-4,0.600,0.000,0.056,94.889,30.014,0.014,0.014,0.785,1.000,1.000,1.000
31,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02160-06832,0.008,0.846,0.217,0.639,94.833,29.944,0.111,0.125,0.238,1.189,0.841,0.702
32,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02209-04359,0.011,0.702,0.075,0.583,60.486,30.625,0.125,0.125,0.399,1.155,0.866,0.836
33,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02433-09488,0.003,1.091,0.161,0.250,131.750,33.764,0.056,0.069,0.504,1.263,0.792,0.788
34,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02738-03736,0.029,1.144,0.418,0.833,51.792,37.931,0.194,0.208,0.527,1.162,0.861,0.901
35,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02802-04103,0.005,0.786,0.119,0.306,56.944,38.889,0.083,0.069,0.623,1.210,0.827,0.906
36,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02816-05971,0.019,1.130,0.425,0.667,82.847,39.028,0.167,0.167,0.535,1.079,0.927,0.887
37,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02868-05861,0.005,0.798,0.201,0.361,81.361,39.792,0.083,0.083,0.446,1.276,0.784,0.814
38,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02887-07398,1.929E-4,0.590,0.000,0.056,102.750,40.097,0.014,0.014,0.785,1.000,1.000,1.000
39,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02888-07398,0.006,0.634,0.065,0.556,102.708,40.069,0.097,0.097,0.243,1.233,0.811,0.729
40,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:02902-06009,7.716E-4,1.536,0.125,0.111,83.444,40.292,0.028,0.028,0.785,1.000,1.000,1.000
41,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:03078-02316,0.002,1.248,0.167,0.194,32.153,42.722,0.042,0.056,0.705,1.372,0.729,0.957
42,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:03087-09828,0.005,0.616,0.121,0.444,136.458,42.833,0.097,0.097,0.319,1.315,0.760,0.703
43,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:03147-05317,0.019,0.806,0.172,0.639,73.778,43.625,0.139,0.181,0.600,1.227,0.815,0.914
44,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:03228-03015,0.016,0.674,0.090,0.583,41.806,44.764,0.139,0.139,0.577,1.057,0.946,0.915
45,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:03289-06151,0.013,1.357,0.491,0.583,85.361,45.611,0.139,0.139,0.484,1.066,0.938,0.872
46,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:03569-05076,0.030,0.880,0.188,0.806,70.403,49.472,0.208,0.194,0.583,1.251,0.799,0.899
47,Result of BEFORE_GA3_A2 Region1_Merged_RAW_ch01.tif:03599-12188,1.929E-4,0.714,0.000,0.056,169.278,49.986,0.014,0.014,0.785,1.000,1.000,1.000
