 ,Label,Area,Mean,StdDev,Perim.,BX,BY,Width,Height,Circ.,AR,Round,Solidity
1,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01096-07049,36.518,2.722,0.584,23.462,4512.081,698.847,7.046,7.046,0.834,1.188,0.842,0.877
2,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01226-06346,13.540,2.295,0.410,17.432,4062.410,782.760,5.765,5.124,0.560,1.609,0.622,0.710
3,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01308-06099,2.872,1.594,0.199,7.687,3905.474,837.208,2.562,1.281,0.611,1.936,0.517,0.933
4,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01362-06486,22.567,2.870,0.387,17.807,4152.088,869.876,5.765,5.765,0.894,1.034,0.967,0.859
5,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01370-07043,44.724,2.429,0.678,27.991,4507.597,873.079,7.687,8.968,0.717,1.171,0.854,0.829
6,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01376-07051,4.103,2.301,0.277,8.968,4515.284,880.765,2.562,1.922,0.641,1.551,0.645,0.909
7,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01441-05944,24.208,2.948,0.799,21.779,3804.907,920.480,5.765,5.124,0.641,1.201,0.832,0.937
8,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01491-06949,0.821,1.989,0.299,3.843,4451.228,954.429,0.641,1.281,0.698,2.000,0.500,1.000
9,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01602-05785,29.953,2.765,0.733,24.341,3702.418,1023.610,6.406,5.765,0.635,1.140,0.877,0.918
10,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01664-05762,28.312,2.827,0.677,24.341,3688.325,1062.684,5.765,6.406,0.600,1.103,0.907,0.902
11,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01770-05670,2.462,1.871,0.365,6.406,3631.316,1133.145,1.922,1.281,0.754,1.500,0.667,1.000
12,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01788-06683,38.980,1.609,0.289,29.466,4277.638,1141.472,7.046,7.687,0.564,1.404,0.712,0.909
13,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01806-06728,11.489,1.995,0.297,19.217,4307.744,1154.924,4.484,4.484,0.391,1.583,0.632,0.767
14,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01872-06208,6.975,2.375,0.352,11.530,3975.295,1197.841,2.562,3.203,0.659,1.276,0.784,0.919
15,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01945-06367,0.410,1.619,0.000,2.562,4078.424,1245.883,0.641,0.641,0.785,1.000,1.000,1.000
16,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01945-06363,4.513,1.904,0.170,10.249,4075.222,1244.602,1.922,3.203,0.540,1.915,0.522,0.880
17,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:01999-06213,30.773,2.874,0.623,25.622,3976.576,1277.270,6.406,6.406,0.589,1.281,0.780,0.915
18,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02010-06821,3.283,2.314,0.348,7.687,4368.597,1286.238,1.281,2.562,0.698,2.000,0.500,1.000
19,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02037-06850,2.872,0.884,0.099,11.530,4386.532,1303.533,2.562,2.562,0.271,2.010,0.498,0.636
20,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02039-06056,44.724,1.605,0.453,34.590,3875.368,1302.252,7.687,8.327,0.470,1.035,0.966,0.848
21,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02046-05735,26.670,2.287,0.564,26.903,3671.030,1307.376,5.765,7.046,0.463,1.508,0.663,0.844
22,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02048-06506,17.643,1.395,0.300,20.498,4164.900,1309.938,5.765,4.484,0.528,1.532,0.653,0.843
23,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02066-06792,69.753,2.538,0.592,43.558,4346.177,1318.266,8.968,10.249,0.462,1.131,0.884,0.863
24,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02069-06631,81.652,2.042,0.685,42.277,4242.407,1320.828,10.889,9.608,0.574,1.128,0.886,0.926
25,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02077-06174,14.771,1.785,0.228,19.217,3952.235,1328.515,5.765,3.843,0.503,1.486,0.673,0.828
26,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02087-05358,13.951,2.441,0.388,23.060,3429.540,1334.920,5.124,3.843,0.330,1.627,0.615,0.773
27,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02115-05747,69.343,2.085,0.578,40.996,3676.795,1349.653,8.968,10.889,0.518,1.275,0.785,0.916
28,Result of BEFORE_GA3_B1 Region1_Merged_RAW_ch01.tif:02122-04527,19.285,3.275,0.909,21.779,2897.238,1356.699,5.124,5.765,0.511,1.340,0.746,0.847
