 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:00238-11209,13.540,2.788,0.528,2.000,4.111,14.339
2,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:00601-09945,75.908,1.884,0.623,1.000,4.250,32.365
3,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:00641-12227,15.592,2.151,0.324,1.588,3.071,14.559
4,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:00742-12265,38.980,2.861,0.688,1.500,5.083,23.617
5,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:00836-03392,2.052,3.242,0.629,2.750,4.286,4.905
6,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:00837-03390,3.283,2.732,0.401,2.364,3.375,6.716
7,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:01682-04644,47.186,1.953,0.494,1.033,3.176,27.991
8,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:01899-12214,34.877,3.471,0.824,2.000,5.556,21.275
9,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02117-04258,25.029,2.444,0.436,1.706,3.471,18.337
10,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02219-09927,0.821,1.952,0.286,1.750,2.154,3.843
11,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02224-09925,8.206,1.657,0.322,1.182,2.538,17.432
12,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02303-04071,12.720,2.313,0.502,1.412,3.250,14.183
13,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02459-03809,31.594,2.724,0.502,1.600,4.200,20.369
14,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02477-07733,2.462,1.896,0.130,1.700,2.056,7.467
15,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02486-07736,0.410,1.632,0.000,1.632,1.632,2.562
16,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02488-07746,0.410,2.143,0.000,2.143,2.143,2.562
17,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02491-07740,0.410,2.308,0.000,2.308,2.308,2.562
18,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02556-08235,10.668,1.505,0.148,1.261,2.000,11.996
19,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02609-10181,12.720,2.456,0.458,1.731,3.538,12.902
20,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02654-11728,9.848,2.664,0.553,1.500,3.636,11.090
21,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02694-04069,1.641,2.364,0.255,2.133,2.727,4.905
22,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02711-08203,21.336,2.458,0.655,1.400,4.214,17.432
23,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02712-03850,68.522,1.988,0.394,1.037,2.897,30.554
24,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02760-03409,19.285,2.411,0.467,1.429,3.200,15.840
25,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02791-03244,25.029,2.461,0.546,1.417,3.800,18.182
26,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02795-10250,0.410,1.667,0.000,1.667,1.667,2.562
27,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:02864-03643,8.206,2.743,0.425,2.182,3.857,10.715
28,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03123-03347,21.336,2.930,0.694,1.636,5.143,16.901
29,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03198-09967,13.951,2.102,0.280,1.440,2.833,13.433
30,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03294-10556,6.155,3.790,0.607,2.778,4.889,8.373
31,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03323-09244,2.052,2.606,0.279,2.364,2.909,4.905
32,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03350-09440,29.953,2.574,0.613,1.688,4.643,19.838
33,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03362-09330,5.334,2.330,0.225,2.000,2.700,8.528
34,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03416-09077,9.437,3.011,0.590,1.941,4.111,10.715
35,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03456-03339,49.648,2.775,0.524,1.792,4.474,26.024
36,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03567-03120,11.078,3.556,0.486,2.750,4.778,11.841
37,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03568-05963,11.899,2.425,0.280,2.062,3.167,11.996
38,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03576-09076,31.594,2.004,0.432,1.267,3.800,21.120
39,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03604-05313,16.413,2.452,0.506,1.435,3.636,15.089
40,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03603-09057,38.980,2.221,0.526,1.111,3.440,22.931
41,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03608-08613,55.803,2.464,0.397,1.562,3.421,29.272
42,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03656-05360,34.877,2.385,0.359,1.733,3.533,21.495
43,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03656-09753,68.112,2.626,0.399,1.786,3.667,31.304
44,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03714-06328,14.361,2.719,0.426,1.875,3.500,13.808
45,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03782-05609,11.899,2.142,0.300,1.526,2.850,12.527
46,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03787-05623,52.520,2.874,0.642,1.833,4.417,26.555
47,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03787-06588,40.211,2.303,0.445,1.348,3.571,23.462
48,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03822-06298,9.848,2.887,0.284,2.375,3.500,11.621
49,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03825-09419,35.287,2.274,0.516,1.057,3.293,22.181
50,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03868-07334,29.132,2.436,0.432,1.625,3.571,19.838
51,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03892-06257,1.641,1.498,0.034,1.455,1.538,5.124
52,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03892-04599,3.283,2.376,0.438,1.857,2.857,7.687
53,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03888-02960,91.500,2.592,0.419,1.625,3.818,37.645
54,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03922-10422,14.771,1.887,0.519,1.222,3.400,15.620
55,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03990-06737,48.007,2.282,0.529,1.000,3.190,26.180
56,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:03995-08940,35.287,2.603,0.452,1.533,3.533,21.650
57,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04028-09117,22.567,2.511,0.442,1.667,3.500,17.276
58,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04039-03424,35.287,1.593,0.719,0.683,3.333,21.650
59,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04047-06402,25.850,3.056,0.702,1.812,4.923,18.182
60,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04051-09114,4.924,1.718,0.346,1.115,2.364,11.090
61,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04054-09112,0.410,1.692,0.000,1.692,1.692,2.562
62,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04055-09110,1.641,1.539,0.104,1.412,1.643,4.905
63,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04127-09144,24.208,1.704,0.254,1.158,2.333,17.651
64,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04150-05026,67.702,2.334,0.529,1.333,3.619,30.023
65,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04205-05377,0.410,2.154,0.000,2.154,2.154,2.562
66,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04208-05376,11.078,2.244,0.356,1.588,2.818,13.433
67,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04221-09133,33.235,2.508,0.426,1.625,3.542,21.806
68,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04247-03658,31.594,2.609,0.482,1.308,3.577,20.369
69,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04261-06912,4.103,2.971,0.334,2.364,3.300,7.092
70,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04281-09114,14.771,1.772,0.307,1.353,2.600,16.370
71,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04281-03733,13.951,2.673,0.412,1.800,3.400,13.277
72,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04281-05386,31.184,2.576,0.476,1.500,3.591,20.524
73,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04307-09191,5.334,1.667,0.209,1.444,2.143,8.903
74,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04332-10677,0.410,2.333,0.000,2.333,2.333,2.562
75,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04403-02926,10.668,2.694,0.458,1.800,3.818,11.621
76,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04434-09066,41.852,2.308,0.574,1.150,3.957,23.837
77,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04447-04185,48.827,2.879,0.694,1.467,4.667,26.244
78,slice0001_Result of After_GA3_B2 Region1_Merged_RAW_ch01.tif:04469-05211,27.901,2.602,0.440,1.706,4.071,19.463
