 ,Label,Area,Mean,StdDev,Min,Max,Perim.
1,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00014-11119,16.002,2.687,0.411,1.583,3.529,20.498
2,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00016-11109,2.052,2.653,0.301,2.200,3.000,7.687
3,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00230-04878,80.832,2.060,0.419,1.143,2.917,33.491
4,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00306-09251,29.953,2.561,0.773,1.071,4.333,21.275
5,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00391-12041,13.130,1.722,0.339,1.107,2.593,13.277
6,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00506-05529,28.722,2.439,0.366,1.667,3.333,20.149
7,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00969-10262,0.821,2.955,0.064,2.909,3.000,3.843
8,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00973-09371,2.462,1.481,0.167,1.292,1.714,6.406
9,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:00976-09370,1.231,1.153,0.132,1.000,1.235,3.624
10,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:01039-08988,31.184,2.417,0.709,1.188,4.105,21.275
11,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:01106-02664,22.567,3.373,0.664,1.833,5.000,17.432
12,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:01264-05005,29.543,1.999,0.992,0.762,4.714,20.900
13,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:01520-12342,0.410,2.556,0.000,2.556,2.556,2.562
14,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:01904-05502,2.872,2.475,0.251,2.077,2.727,6.341
15,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02028-04684,18.464,2.375,0.388,1.650,3.333,15.464
16,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02079-02778,3.693,1.758,0.190,1.500,2.118,6.716
17,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02105-02942,47.596,2.932,0.825,1.350,5.000,25.274
18,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02159-04235,8.206,1.620,0.244,1.158,2.000,10.715
19,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02195-03412,62.778,2.365,0.648,1.074,3.889,28.742
20,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02203-04246,25.029,2.328,0.590,1.185,4.000,19.994
21,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02268-02991,54.572,1.917,0.577,0.814,3.667,30.178
22,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02311-02781,16.413,1.365,0.230,0.927,2.000,14.559
23,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02404-04059,16.823,1.939,0.422,1.036,3.333,14.714
24,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02488-05005,7.796,1.899,0.267,1.458,2.533,9.809
25,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02505-03704,1.641,3.014,0.315,2.545,3.200,4.529
26,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02551-03763,12.720,2.396,0.291,1.737,3.000,14.559
27,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02553-03799,27.901,1.915,0.409,0.974,2.882,19.463
28,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02603-04291,16.413,2.734,0.590,1.588,3.882,14.559
29,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02636-03780,13.130,2.777,0.440,2.000,3.750,13.433
30,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02657-07888,9.437,2.137,0.311,1.688,2.733,11.090
31,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02791-03386,1.231,1.785,0.096,1.722,1.895,3.624
32,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02796-03836,69.343,1.570,0.455,0.980,3.143,30.554
33,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02813-02995,9.437,3.416,0.430,2.643,4.500,11.246
34,Result of BEFORE_GA3_B2 Region1_Merged_RAW_ch01.tif:02848-03392,14.771,1.405,0.230,1.000,1.833,13.653
